Student ID,Age,Gender,Socio-Economic Status,Parental Education Level,Residential Area,Previous Year Grades,Current Year Grades,Course Failures,Subject-Specific Scores,Total Days Absent,Unexcused Absences,Tardiness,Disciplinary Actions,Behavioral Notes,Engagement Score,Parent-Teacher Meetings Attended,Parental Support,Extracurricular Participation,Number of Activities,Activity Type,Peer Influence Score,Bullying Incidents,Health Issues,Mental Health Support,Sleep Patterns (hours),Commute Time (minutes),Mode of Transportation,Dropout Status,Scholarship Status,Financial Hardships
S001,15,0,0,1,0,75,70,0,80,5,2,3,0,4,85,2,1,1,2,75,0,0,0,7,30,0,1,1,0,1
S002,16,1,1,2,0,85,88,0,90,2,1,1,1,3,90,3,1,1,3,80,0,1,1,8,25,1,0,1,1,0
S003,15,0,2,2,2,65,62,1,60,8,5,4,2,2,60,1,0,0,0,60,2,1,1,6,40,2,1,1,1,1
S004,14,1,1,1,1,78,80,0,85,3,1,2,0,4,88,2,1,1,2,77,0,0,0,7,20,1,1,1,0,0
S005,17,0,0,0,2,55,52,2,55,12,8,5,3,1,55,0,0,0,0,55,3,1,1,5,45,0,1,1,1,1
S006,16,1,2,3,0,69,93,0,95,1,0,0,0,5,95,3,1,1,4,88,0,0,0,8,15,3,1,1,0,0
S007,15,0,2,3,1,82,79,1,83,6,3,3,1,3,80,2,1,1,3,79,1,0,0,7,25,1,0,1,1,0
S008,16,1,0,1,2,60,58,1,61,10,7,6,2,2,65,1,0,1,0,65,2,1,1,6,35,2,1,1,1,0
S009,17,0,2,2,0,88,85,0,92,2,0,1,0,4,85,3,1,1,3,85,0,0,0,8,15,3,1,1,0,1
S010,14,1,1,0,1,50,49,3,45,15,10,8,4,1,45,0,0,0,0,50,4,1,1,5,50,0,1,1,1,0
S011,15,0,0,3,0,77,74,0,78,4,2,2,1,4,78,2,1,1,2,78,0,0,0,7,30,0,1,1,0,1
S012,16,1,2,1,2,84,87,0,88,3,1,2,0,3,88,3,1,1,3,82,0,1,1,8,20,1,0,1,1,0
S013,17,0,1,2,1,69,66,1,65,7,4,3,2,2,67,1,0,0,0,67,2,1,1,6,40,2,1,1,1,0
S014,14,1,0,3,0,72,75,0,70,5,2,1,1,4,75,2,1,1,2,74,0,0,0,7,25,1,1,1,0,1
S015,15,0,1,0,0,67,63,1,64,8,6,4,2,3,63,2,1,1,3,63,1,0,1,6,30,0,0,1,1,0
S016,16,1,2,1,2,91,92,0,94,1,0,0,0,5,94,3,1,1,4,90,0,0,0,8,15,3,0,1,0,0
S017,17,0,1,2,1,81,78,0,82,3,1,2,0,4,78,2,1,1,2,80,0,0,0,7,25,1,0,1,1,0
S018,14,1,0,3,2,59,57,2,58,9,4,4,3,2,63,1,0,0,0,62,3,1,1,6,35,2,1,1,1,0
S019,15,0,2,1,2,89,86,0,91,2,0,1,0,5,91,3,1,1,3,87,0,0,1,8,20,1,1,1,0,1
S020,16,1,1,2,1,73,70,1,75,6,3,3,1,4,77,2,1,1,2,77,1,0,0,7,30,0,0,1,1,0
S021,17,0,0,1,0,65,62,1,64,8,6,5,2,3,62,1,1,0,1,63,2,1,1,6,40,0,1,1,1,0
S022,14,1,2,3,1,92,94,0,96,1,0,0,0,5,96,3,1,1,4,92,0,0,0,8,20,3,0,1,0,1
S023,16,0,1,2,2,75,72,1,74,5,3,3,1,4,74,2,1,1,2,74,0,0,1,7,35,2,0,1,1,0
S024,15,1,0,1,0,57,55,2,56,10,7,6,3,2,58,1,0,1,2,56,0,1,1,6,30,0,1,1,1,1
S025,17,0,2,3,1,88,85,0,90,2,0,1,0,4,85,3,1,1,3,84,0,0,0,8,25,1,0,1,0,0
S026,16,1,1,2,2,82,80,1,81,4,2,2,1,3,82,2,1,1,2,81,0,0,1,7,30,2,0,1,1,1
S027,14,0,0,1,0,50,48,3,45,14,9,8,4,1,47,0,0,0,0,49,3,1,1,5,50,0,1,1,1,0
S028,15,1,2,3,1,89,92,0,93,1,0,0,0,5,93,3,1,1,4,90,0,0,0,8,20,3,0,1,0,1
S029,16,0,1,2,2,70,68,1,69,7,4,4,2,2,68,1,0,0,0,68,2,1,1,6,40,2,1,1,1,0
S030,17,1,0,1,0,60,57,2,58,9,5,5,3,3,59,1,1,0,1,61,2,1,1,6,30,0,1,1,1,1
S031,15,0,2,2,2,81,77,0,80,6,3,2,1,3,79,2,1,1,2,78,1,0,0,7,25,1,0,1,0,0
S032,16,1,1,3,1,73,70,1,75,4,1,2,0,5,75,3,1,1,3,72,0,1,1,6,35,2,0,1,1,0
S033,14,0,0,2,0,66,63,1,65,12,8,7,2,2,65,2,1,1,3,62,0,1,1,7,30,0,1,1,0,1
S034,15,1,2,1,1,78,75,0,80,5,2,3,1,3,75,1,1,1,2,78,0,0,0,6,40,2,1,1,1,1
S035,16,0,1,2,0,72,69,1,70,7,4,4,1,4,69,1,0,0,0,71,3,1,1,7,35,1,1,1,1,0
S036,17,1,2,1,2,84,82,0,85,2,1,1,0,5,85,3,1,1,4,83,0,0,0,8,25,3,0,1,0,1
S037,14,0,1,3,1,58,56,2,58,9,4,3,1,2,57,1,1,0,1,55,2,1,1,6,30,1,1,1,1,0
S038,15,1,0,2,0,79,76,0,80,5,2,1,0,3,78,2,1,1,2,77,1,0,0,7,35,0,1,1,1,1
S039,16,0,2,1,1,75,72,1,74,6,3,2,2,4,74,2,1,1,2,72,0,1,1,6,30,2,0,1,1,0
S040,17,1,1,2,0,88,85,0,90,2,1,2,0,5,88,3,1,1,3,85,0,0,0,8,25,3,0,1,0,1
S041,15,0,0,1,1,64,62,2,63,8,5,3,1,3,62,1,1,1,2,62,2,1,1,6,35,1,0,1,1,0
S042,16,1,2,2,2,79,76,0,80,5,2,2,1,4,78,2,1,1,2,77,1,0,1,6,30,2,0,1,1,1
S043,17,0,1,3,1,88,84,1,87,3,1,2,2,3,85,2,0,0,0,84,1,1,1,7,35,3,1,1,1,0
S044,14,1,2,1,0,55,52,1,55,10,7,6,2,2,54,1,1,1,0,55,2,1,1,5,40,0,1,1,1,1
S045,15,0,0,2,2,67,65,1,67,9,6,5,2,3,66,2,1,1,3,68,1,1,1,7,25,1,0,1,1,0
S046,16,1,1,0,1,71,70,0,72,5,2,2,0,4,71,1,1,1,2,70,0,0,1,6,30,0,0,1,1,0
S047,17,0,2,2,2,85,82,1,85,4,2,3,1,5,83,1,0,1,2,84,1,1,1,7,35,3,0,1,1,0
S048,14,1,1,0,1,53,50,2,52,12,7,6,3,2,52,0,1,1,1,54,2,1,1,6,40,0,1,1,1,0
S049,15,0,2,3,1,78,75,0,80,6,3,2,2,4,76,2,1,1,3,75,1,0,0,7,30,1,0,1,1,0
S050,16,1,0,1,0,70,68,1,71,7,4,3,1,3,70,1,0,0,1,69,2,1,1,6,35,2,0,1,1,1
S051,17,0,2,3,1,88,85,0,90,4,1,2,0,5,86,3,1,1,4,85,1,1,1,8,25,3,0,1,0,1
S052,15,1,1,2,2,82,80,1,83,8,5,4,1,4,81,1,1,1,2,82,2,1,1,7,30,2,1,1,1,1
S053,16,0,2,3,0,75,72,0,74,6,2,3,0,3,72,2,1,1,2,74,1,1,1,6,40,2,1,1,1,0
S054,17,1,1,2,1,89,86,1,90,2,1,1,0,4,90,3,1,1,4,85,0,0,0,8,25,2,0,1,0,1
S055,14,0,0,1,1,62,59,2,60,10,7,5,2,3,60,1,1,0,1,58,2,1,1,6,30,1,1,1,1,0
S056,15,1,1,2,2,84,80,0,85,5,3,3,1,4,85,1,1,1,2,82,1,0,0,7,35,2,0,1,1,0
S057,16,0,2,1,0,78,75,1,77,4,1,2,1,3,78,2,0,1,1,74,0,1,1,6,40,1,0,1,1,0
S058,17,1,1,3,1,85,82,0,86,6,2,3,1,5,84,3,1,1,3,83,1,1,1,7,30,3,0,1,1,0
S059,14,0,0,2,1,55,53,1,55,12,7,6,3,2,55,1,1,1,1,53,2,1,1,7,35,1,1,1,1,0
S060,15,1,2,3,2,79,76,0,80,8,4,4,2,3,77,2,1,1,2,76,1,0,1,7,25,1,1,1,1,1
S061,16,0,1,2,1,70,68,0,72,5,2,2,1,3,72,1,1,1,2,71,1,0,0,6,35,2,0,1,1,0
S062,17,1,2,0,0,85,83,0,87,2,0,1,0,4,87,3,1,1,4,84,0,1,1,8,25,3,0,1,0,1
S063,14,0,1,3,1,62,60,2,63,10,6,4,2,2,62,1,0,1,1,60,3,1,1,6,30,1,1,1,1,0
S064,15,1,2,2,0,80,77,1,78,6,4,3,1,3,78,2,1,1,2,76,2,1,1,6,35,2,0,1,1,1
S065,16,0,1,1,2,74,71,1,75,8,5,4,1,4,74,2,1,1,2,72,0,0,1,6,40,2,1,1,1,0
S066,17,1,0,2,0,88,85,0,90,3,1,2,0,5,88,3,1,1,4,84,1,0,1,8,20,3,0,1,0,1
S067,14,0,2,1,1,53,51,2,52,11,7,6,3,2,52,0,1,0,1,50,2,1,1,7,30,1,1,1,1,0
S068,15,1,1,0,0,76,74,1,76,8,4,3,2,3,75,2,1,1,2,76,1,0,0,7,35,2,1,1,1,1
S069,16,0,2,2,2,80,78,0,79,7,5,4,2,4,78,2,1,1,3,80,0,1,1,6,30,3,0,1,1,0
S070,17,1,1,1,1,90,85,0,88,2,0,1,0,4,90,3,1,1,4,84,0,0,1,8,25,3,0,1,0,1
S071,15,0,0,2,1,69,66,1,70,7,4,2,1,3,66,2,1,1,2,68,2,1,1,6,35,1,0,1,1,0
S072,16,1,2,1,0,77,74,0,75,6,2,1,0,5,75,1,1,1,1,74,0,1,1,6,40,2,0,1,1,0
S073,17,0,0,3,2,83,80,1,82,3,1,2,1,4,82,3,1,1,3,80,1,0,1,7,30,3,0,1,1,0
S074,14,1,1,2,0,55,52,1,54,9,5,4,2,3,52,0,1,1,1,53,2,1,1,7,25,0,1,1,0,1
S075,15,0,2,0,1,80,77,1,79,10,6,5,1,4,78,2,1,1,2,76,1,1,0,7,35,2,0,1,1,0
S076,16,1,1,2,2,70,68,0,73,5,2,3,1,3,70,1,0,0,1,68,2,1,1,6,30,2,0,1,1,0
S077,17,0,2,0,1,85,82,1,87,4,1,2,1,5,85,2,0,1,1,82,1,0,1,7,25,3,0,1,1,1
S078,14,1,1,3,2,60,58,0,61,11,7,6,2,2,59,0,1,1,0,58,3,1,1,6,35,1,1,1,0,0
S079,15,0,2,1,1,69,66,1,67,7,3,2,1,3,66,2,1,1,3,68,1,0,1,7,30,2,0,1,1,0
S080,16,1,0,2,1,77,74,0,76,6,1,2,0,5,76,2,0,0,1,74,0,1,1,6,40,2,1,1,1,1
S081,17,0,1,1,2,85,82,1,85,3,1,2,1,4,85,3,1,1,2,82,1,0,1,8,25,3,0,1,0,1
S082,14,1,2,3,1,52,50,2,52,10,6,5,3,2,51,1,1,1,1,50,2,1,1,6,30,1,1,1,1,0
S083,15,0,0,1,0,76,73,2,75,8,5,4,2,3,75,2,1,1,2,74,2,1,1,7,25,1,1,1,1,1
S084,16,1,1,2,2,82,80,1,84,4,1,2,0,4,84,2,1,1,3,80,1,0,0,6,35,3,1,1,1,0
S085,17,0,2,3,1,78,76,0,79,3,1,2,1,5,78,2,1,1,2,76,1,1,1,7,30,3,0,1,1,0
S086,14,1,0,2,0,68,65,1,70,9,4,2,2,3,68,1,0,1,1,65,3,1,1,6,30,2,0,1,1,0
S087,15,0,1,1,1,80,77,0,79,6,2,1,0,4,78,2,1,1,2,77,1,0,1,6,35,2,1,1,1,0
S088,16,1,2,2,1,88,85,0,89,4,1,2,0,5,89,3,1,1,4,84,0,1,1,7,25,3,0,1,0,1
S089,17,0,1,0,1,80,77,2,78,5,2,3,1,4,78,2,1,1,1,76,1,1,1,7,30,2,0,1,1,0
S090,14,1,2,1,2,55,52,0,56,9,3,2,2,2,54,1,0,1,1,52,2,1,1,5,35,1,0,1,1,1
S091,15,0,1,3,0,70,68,1,72,6,4,4,2,3,68,2,0,1,2,70,1,0,1,7,30,3,0,1,1,0
S092,16,1,2,0,1,80,77,1,78,8,5,3,2,4,78,2,1,1,3,76,2,1,1,6,35,3,1,1,1,1
S093,17,0,1,2,2,85,82,0,87,3,1,1,1,4,85,2,1,1,1,84,1,1,1,7,30,3,0,1,1,0
S094,14,1,2,3,1,60,58,2,59,10,5,4,1,2,58,0,1,0,1,60,1,1,1,6,35,1,1,1,1,0
S095,15,0,1,0,2,82,80,1,82,6,2,1,0,3,82,1,1,1,1,80,1,0,0,7,30,1,0,1,1,0
S096,16,1,0,3,0,76,73,1,76,7,4,2,1,4,76,2,1,1,1,73,0,0,1,6,35,2,0,1,1,0
S097,17,0,2,2,0,85,82,0,85,3,1,2,1,5,85,3,1,1,3,82,1,0,1,8,25,3,0,1,0,1
S098,14,0,1,1,1,60,58,0,60,10,7,4,1,2,60,1,0,1,0,58,2,1,1,7,35,1,1,1,1,0
S099,15,1,2,2,2,76,72,1,76,7,3,3,1,4,74,1,1,1,2,74,1,1,1,7,30,2,1,1,1,1
S100,16,0,0,1,2,72,70,0,73,6,2,3,1,5,72,1,1,1,1,71,0,0,1,6,35,2,0,1,1,0


# medical condtion 
