Student ID,Age,Gender,Socio-Economic Status,Parental Education Level,Residential Area,Previous Year Grades,Current Year Grades,Course Failures,Subject-Specific Scores,Total Days Absent,Unexcused Absences,Tardiness,Disciplinary Actions,Behavioral Notes,Engagement Score,Parent-Teacher Meetings Attended,Parental Support,Extracurricular Participation,Number of Activities,Activity Type,Peer Influence Score,Bullying Incidents,Health Issues,Mental Health Support,Sleep Patterns (hours),Commute Time (minutes),Mode of Transportation,Dropout Status,Scholarship Status,Financial Hardships
S001,15,Male,Low,High School,Urban,75,70,0,80,5,2,3,0,4,85,2,High,Yes,2,Sports,75,0,No,No,7,30,Bus,0,Yes,No
S002,16,Female,Middle,College,Urban,85,88,0,90,2,1,1,1,3,90,3,Medium,Yes,3,Arts,80,0,No,Yes,8,25,Walk,0,No,Yes
S003,15,Male,High,College,Rural,65,62,1,60,8,5,4,2,2,60,1,Low,No,0,None,60,2,Yes,Yes,6,40,Bike,1,No,Yes
S004,14,Female,Middle,High School,Suburban,78,80,0,85,3,1,2,0,4,88,2,High,Yes,2,Sports,77,0,No,No,7,20,Walk,0,Yes,No
S005,17,Male,Low,Primary,Rural,55,52,2,55,12,8,5,3,1,55,0,Low,No,0,None,55,3,Yes,Yes,5,45,Bus,1,No,Yes
S006,16,Female,High,Graduate,Urban,90,93,0,95,1,0,0,0,5,95,3,High,Yes,4,Sports,88,0,No,No,8,15,Car,0,Yes,No
S007,15,Male,Middle,Graduate,Suburban,82,79,1,83,6,3,3,1,3,80,2,Medium,Yes,3,Arts,79,1,No,No,7,25,Walk,0,No,Yes
S008,16,Female,Low,High School,Rural,60,58,1,61,10,7,6,2,2,65,1,Low,No,0,None,65,2,Yes,Yes,6,35,Bike,1,No,Yes
S009,17,Male,High,College,Urban,88,85,0,92,2,0,1,0,4,85,3,High,Yes,3,Sports,85,0,No,No,8,15,Car,0,Yes,No
S010,14,Female,Middle,Primary,Suburban,50,49,3,45,15,10,8,4,1,45,0,Low,No,0,None,50,4,Yes,Yes,5,50,Bus,1,No,Yes
S011,15,Male,Low,Graduate,Urban,77,74,0,78,4,2,2,1,4,78,2,High,Yes,2,Sports,78,0,No,No,7,30,Bus,0,Yes,No
S012,16,Female,High,High School,Rural,84,87,0,88,3,1,2,0,3,88,3,Medium,Yes,3,Arts,82,0,No,Yes,8,20,Walk,0,No,Yes
